"GEO_NAME","ALAND","AWATER","fancyname","jurisdiction","canopy_percent","avgcanopy","score","highest_priority","Public health","Conservation","Environmental justice","Climate change","GEOID"
"270530265082",1788814,819265," Hennepin County tract  265.08, block group 2","Plymouth",0.471484676884368,0.361879065478218,7.88348438357857,"Conservation",3.86890717578149,7.88348438357857,1.7121646158317,2.40575620591008,"270530265082"
"270530265083",1216131,10178," Hennepin County tract  265.08, block group 3","Plymouth",0.352094593796219,0.361879065478218,6.2153558046209,"Public health",6.2153558046209,4.73511540979947,4.24129477650375,5.0749634764637,"270530265083"
"270530265091",2499128,61430," Hennepin County tract  265.09, block group 1","Plymouth",0.399844141903777,0.361879065478218,6.03764122795099,"Conservation",4.71155458508224,6.03764122795099,2.2005482367301,4.53177801743024,"270530265091"
"270530265101",1509788,18886," Hennepin County tract  265.10, block group 1","Plymouth",0.273884774382692,0.361879065478218,7.81408803459545,"Climate change",6.55427230788576,2.77975678516072,3.6658207355847,7.81408803459545,"270530265101"
"271630704042",2343601,193504," Washington County tract  704.04, block group 2","Stillwater",0.486772075421962,0.361879065478218,7.95677546255721,"Conservation",2.38102483002281,7.95677546255721,1.50796015382563,1.94736289193359,"271630704042"
"270530265102",648375,0," Hennepin County tract  265.10, block group 2","Plymouth",0.455110775889157,0.361879065478218,7.45206605459885,"Conservation",4.30558386856619,7.45206605459885,3.21113478848272,3.53445441862978,"270530265102"
"270530265111",387787,0," Hennepin County tract  265.11, block group 1","Plymouth",0.221834685116702,0.361879065478218,9.18385014682021,"Environmental justice",7.65356430191146,1.50421725503087,9.18385014682021,7.40702479581922,"270530265111"
"270530267085",6432472,61544," Hennepin County tract  267.08, block group 5","Maple Grove",0.333772159480266,0.361879065478218,5.38640707975319,"Public health",5.38640707975319,4.61715732656751,3.67722582994641,4.67069770813145,"270530267085"
"270530266061",1003132,37085," Hennepin County tract  266.06, block group 1","Plymouth",0.59124091517005,0.361879065478218,9.18125119153617,"Conservation",2.37666038768956,9.18125119153617,2.18297941680842,2.22639316506083,"270530266061"
"270530266062",2326667,161007," Hennepin County tract  266.06, block group 2","Plymouth",0.581920105451796,0.361879065478218,9.06047632178868,"Conservation",2.16174479317484,9.06047632178868,2.47028503687987,2.10885294766691,"270530266062"
"270530266092",1236260,9501," Hennepin County tract  266.09, block group 2","Plymouth",0.538077862204182,0.361879065478218,8.47760064814053,"Conservation",2.22661173232599,8.47760064814053,1.76331677694246,2.27499114635864,"270530266092"
"270530266101",1275772,33748," Hennepin County tract  266.10, block group 1","Plymouth",0.511207795736786,0.361879065478218,8.37951740329765,"Conservation",2.51908262732119,8.37951740329765,2.19892262604212,2.96290274594862,"270530266101"
"270530267062",838424,83250," Hennepin County tract  267.06, block group 2","Maple Grove",0.560186244230585,0.361879065478218,8.9369011448307,"Conservation",2.81080232822936,8.9369011448307,2.04718223390524,1.46584944889826,"270530267062"
"270530267063",601326,5412," Hennepin County tract  267.06, block group 3","Maple Grove",0.520082001745895,0.361879065478218,8.50397116648766,"Conservation",3.72039026488617,8.50397116648766,2.19078858195029,1.82572837588464,"270530267063"
"270530267081",688972,41982," Hennepin County tract  267.08, block group 1","Maple Grove",0.398592421968559,0.361879065478218,6.03950716806155,"Conservation",4.2229712501795,6.03950716806155,3.80293050424111,4.4219793738262,"270530267081"
"270530267082",1760767,69301," Hennepin County tract  267.08, block group 2","Maple Grove",0.435978524386269,0.361879065478218,7.20181888663186,"Conservation",4.4300777692244,7.20181888663186,1.54602457007298,2.8987818788269,"270530267082"
"270530267111",1855084,18726," Hennepin County tract  267.11, block group 1","Maple Grove",0.425989966339195,0.361879065478218,6.39563812895108,"Conservation",4.92231592613603,6.39563812895108,2.4672504889935,4.23547532737833,"270530267111"
"270530267122",1417096,356437," Hennepin County tract  267.12, block group 2","Maple Grove",0.445012308037662,0.361879065478218,6.95983871583611,"Conservation",4.18234688174434,6.95983871583611,3.28005267174346,4.4651495753254,"270530267122"
"270530216022",1649361,2582," Hennepin County tract  216.02, block group 2","Golden Valley",0.349869196082899,0.361879065478218,5.42332409663707,"Conservation",5.38152087694848,5.42332409663707,5.26243456459973,4.10801091474858,"270530216022"
"270370606051",4739431,1131559," Dakota County tract  606.05, block group 1","Mendota Heights",0.298653077691007,0.361879065478218,9.43447869080838,"Environmental justice",5.70386135601682,4.29929478278447,9.43447869080838,4.95055769890915,"270370606051"
"270370601042",2064444,72458," Dakota County tract  601.04, block group 2","West St. Paul",0.454326492039686,0.361879065478218,6.6354014328346,"Conservation",4.04322781067038,6.6354014328346,5.37494475226361,3.687170271723,"270370601042"
"270370601051",1547303,17716," Dakota County tract  601.05, block group 1","West St. Paul",0.301171532524469,0.361879065478218,7.49414155817024,"Environmental justice",6.1323846809585,3.0990648665884,7.49414155817024,5.98004798861249,"270370601051"
"270531052042",47672,0," Hennepin County tract  1052.04, block group 2","Minneapolis",0.0158079635789026,0.361879065478218,8.15864488058961,"Climate change",7.89377671554885,0.0470226110955116,5.70809983768782,8.15864488058961,"270531052042"
"270531056004",43437,0," Hennepin County tract  1056, block group 4","Minneapolis",0.0180662440901744,0.361879065478218,8.15567248794256,"Climate change",7.91095270302567,0.0570649343055797,6.10113603896635,8.15567248794256,"270531056004"
"270531256002",417943,0," Hennepin County tract  1256, block group 2","Minneapolis",0.504745503747416,0.361879065478218,7.11428264403729,"Conservation",3.94565631077602,7.11428264403729,3.25166108578079,3.24140176835648,"270531256002"
