"GEO_NAME","ALAND","AWATER","fancyname","jurisdiction","canopy_percent","avgcanopy","score","highest_priority","Public health","Conservation","Environmental justice","Climate change","GEOID"
"270530265082",1788814,819265," Hennepin County tract  265.08, block group 2","Plymouth",0.6,0.348360591900312,6.66647999418713,"Conservation",5.28578775575581,6.66647999418713,1.71935857987912,4.14242973144908,"270530265082"
"270530265083",1216131,10178," Hennepin County tract  265.08, block group 3","Plymouth",0.25,0.348360591900312,5.89989119546275,"Public health",5.89989119546275,5.6750755846473,4.12921912761153,5.38216686905254,"270530265083"
"270530265091",2499128,61430," Hennepin County tract  265.09, block group 1","Plymouth",0.35,0.348360591900312,7.24212049823851,"Conservation",5.11512330367692,7.24212049823851,1.91290651607719,4.50858317447093,"270530265091"
"270530265101",1509788,18886," Hennepin County tract  265.10, block group 1","Plymouth",0.37,0.348360591900312,7.38552510329047,"Conservation",4.03777744964233,7.38552510329047,4.54350805289871,3.2629510028058,"270530265101"
"271630704042",2343601,193504," Washington County tract  704.04, block group 2","Stillwater",0.33,0.348360591900312,5.97135236388923,"Climate change",5.08671556589073,5.37513881355864,1.51242878919986,5.97135236388923,"271630704042"
"270530265102",648375,0," Hennepin County tract  265.10, block group 2","Plymouth",0.38,0.348360591900312,7.51973352088294,"Conservation",4.49891782715266,7.51973352088294,3.66335129838769,3.25098285458537,"270530265102"
"270530265111",387787,0," Hennepin County tract  265.11, block group 1","Plymouth",0.2,0.348360591900312,9.21550157756482,"Environmental justice",4.98070848322087,4.92460045357835,9.21550157756482,5.69634952620649,"270530265111"
"270530267085",6432472,61544," Hennepin County tract  267.08, block group 5","Maple Grove",0.41,0.348360591900312,6.26286609838847,"Climate change",5.9326110867712,3.8502012010729,3.95339605491156,6.26286609838847,"270530267085"
"270530266061",1003132,37085," Hennepin County tract  266.06, block group 1","Plymouth",0.33,0.348360591900312,5.4160742001704,"Public health",5.4160742001704,3.04296245292653,2.03637401958375,5.3357766156081,"270530266061"
"270530266062",2326667,161007," Hennepin County tract  266.06, block group 2","Plymouth",0.11,0.348360591900312,5.44245680597201,"Climate change",4.49060306451023,2.4201142473051,2.54078199756747,5.44245680597201,"270530266062"
"270530266092",1236260,9501," Hennepin County tract  266.09, block group 2","Plymouth",0.31,0.348360591900312,4.33863026306709,"Conservation",3.88046763640535,4.33863026306709,1.77650580262033,4.11715913648371,"270530266092"
"270530266101",1275772,33748," Hennepin County tract  266.10, block group 1","Plymouth",0.2,0.348360591900312,8.52934122405235,"Climate change",7.93544053283116,1.18559598035245,2.12970692321192,8.52934122405235,"270530266101"
"270530267062",838424,83250," Hennepin County tract  267.06, block group 2","Maple Grove",0.47,0.348360591900312,7.38696053626906,"Climate change",6.66040160165226,4.77976894633856,1.94745391032991,7.38696053626906,"270530267062"
"270530267063",601326,5412," Hennepin County tract  267.06, block group 3","Maple Grove",0.48,0.348360591900312,8.6718962164965,"Conservation",3.26991037782454,8.6718962164965,2.09589579409041,2.14892990908957,"270530267063"
"270530267081",688972,41982," Hennepin County tract  267.08, block group 1","Maple Grove",0.39,0.348360591900312,5.10441497216278,"Public health",5.10441497216278,4.7577159033828,3.556904529724,4.63527941188913,"270530267081"
"270530267082",1760767,69301," Hennepin County tract  267.08, block group 2","Maple Grove",0.19,0.348360591900312,7.74502066852294,"Public health",7.74502066852294,1.32501520619855,1.79615595169753,6.34277234793729,"270530267082"
"270530267111",1855084,18726," Hennepin County tract  267.11, block group 1","Maple Grove",0.26,0.348360591900312,7.03934829641839,"Public health",7.03934829641839,1.67395883786224,2.52626444672367,6.75717889147684,"270530267111"
"270530267122",1417096,356437," Hennepin County tract  267.12, block group 2","Maple Grove",0.41,0.348360591900312,7.2680907034176,"Conservation",3.79791890261837,7.2680907034176,3.08532982392706,3.57252868535536,"270530267122"
"270530216022",1649361,2582," Hennepin County tract  216.02, block group 2","Golden Valley",0.49,0.348360591900312,7.00209758212814,"Public health",7.00209758212814,4.45033869362846,5.08434699140344,6.52251802634695,"270530216022"
"270370606051",4739431,1131559," Dakota County tract  606.05, block group 1","Mendota Heights",0.48,0.348360591900312,9.44671714372983,"Environmental justice",6.12505435612627,4.3109742451269,9.44671714372983,4.82952949458653,"270370606051"
"270370601042",2064444,72458," Dakota County tract  601.04, block group 2","West St. Paul",0.47,0.348360591900312,6.8872570501344,"Public health",6.8872570501344,4.21721400229061,5.82815147961477,6.00120702983368,"270370601042"
"270370601051",1547303,17716," Dakota County tract  601.05, block group 1","West St. Paul",0.39,0.348360591900312,6.70083486494002,"Environmental justice",6.22055641185265,4.33648356365689,6.70083486494002,6.16443294272894,"270370601051"
"270531052042",47672,0," Hennepin County tract  1052.04, block group 2","Minneapolis",0.1,0.348360591900312,7.17235106682722,"Climate change",6.89698462426462,1.20623440442969,5.95578267738049,7.17235106682722,"270531052042"
"270531056004",43437,0," Hennepin County tract  1056, block group 4","Minneapolis",0.21,0.348360591900312,5.552337610916,"Environmental justice",5.19598535322399,2.05808605001635,5.552337610916,5.54112447685017,"270531056004"
"270531256002",417943,0," Hennepin County tract  1256, block group 2","Minneapolis",0.29,0.348360591900312,6.31541412513234,"Conservation",4.34835291977703,6.31541412513234,3.26405223436419,4.37019379785944,"270531256002"
"270531109002",376898,0," Hennepin County tract  1109, block group 2","Minneapolis",0.17,0.348360591900312,7.86724791706729,"Environmental justice",6.78255553761908,0.786142178924121,7.86724791706729,6.23857334513746,"270531109002"
