# ----------------------------------------
# Report CSV Export
# Account: Shiny apps
# Property: Growing Shade
# ----------------------------------------
# 
# All Users
# Start date: 20220101
# End date: 20220316

City,Users
Saint Paul,99
Minneapolis,98
Cheyenne,86
Maplewood,13
Richfield,12
Roseville,11
Stillwater,11
St. Louis Park,10
Ashburn,7
Des Moines,7
Rush City,7
Woodbury,7
Chicago,6
Eagan,6
Bloomington,5
Brooklyn Park,5
Chanhassen,5
Fridley,5
Washington,5
Boydton,4
Eden Prairie,4
Edina,4
Farmington,4
Golden Valley,4
Minnetonka,4
Oakdale,4
Plymouth,4
Portland,4
San Antonio,4
Atlanta,3
Coon Rapids,3
Inver Grove Heights,3
Lake Elmo,3
Mendota Heights,3
New Brighton,3
Prior Lake,3
Rochester,3
Saint Francis,3
White Bear Lake,3
Anoka,2
Apple Valley,2
Bemidji,2
Brooklyn Center,2
Burnsville,2
Charlottesville,2
Chaska,2
Coffeyville,2
Council Bluffs,2
Crystal,2
Des Plaines,2
Duluth,2
Grand Rapids,2
Ives Estates,2
Lakeville,2
Madison,2
Philadelphia,2
Quincy,2
San Jose,2
Seattle,2
Shoreview,2
South Saint Paul,2
Stockton,2
West Saint Paul,2
Wheaton,2
Afton,1
Arlington,1
Aurora,1
Austin,1
Baltimore,1
Baxter,1
Belle Plaine,1
Blaine,1
Boston,1
Britt,1
Burlington,1
Byron,1
Centennial,1
Clemson,1
Cold Spring,1
Columbia Heights,1
Cottage Grove,1
Denver,1
Donalsonville,1
Estes Park,1
Eugene,1
Fargo,1
Fergus Falls,1
Fort Wayne,1
Gallup,1
Gaylord,1
Gladstone,1
Guangzhou,1
Hagerstown,1
Hamilton Township,1
Hialeah Gardens,1
Hopkins,1
Hudson,1
Johnson City,1
Jordan,1
Lincoln,1
Lino Lakes,1
Lisbon,1
Los Angeles,1
Mahtomedi,1
Maple Grove,1
Marshall,1
Maryville,1
Milwaukee,1
Minnetrista,1
Montgomery,1
Moscow,1
Newburyport,1
Oak Brook,1
Oakland,1
Oklahoma City,1
Omaha,1
Osceola,1
Pagosa Springs,1
Pasadena,1
Pierz,1
Ramsey,1
Robbinsdale,1
Rosemount,1
San Francisco,1
Savage,1
Shakopee,1
Shenzhen,1
South Brunswick Township,1
Stacy,1
State College,1
Temple Terrace,1
Tigard,1
Victoria,1
Waltham,1
Waseca,1
Watertown,1
Wausau,1
Waverly,1
West Chicago,1
West Falls Church,1
West Vancouver,1
Wichita Falls,1
Williston,1
Winchester,1
Winona,1
Yonkers,1

# Start date: 20220101
# End date: 20220316
City,Users,New users
