system:index,ALAND,AWATER,BLKGRPCE,COUNTYFP,FUNCSTAT,GEOID,GEO_NAME,INTPTLAT,INTPTLON,MTFCC,NAMELSAD,STATEFP,TRACTCE,Year,sq_miles,.geo
000000000000000000fc,9.7826279E7,397449.0,1,165,S,271659503001,271659503001,+43.9847052,-094.7896697,G5030,Block Group 1,27,950300,2021,"{groups=[{classification=0, sum=2.638839059999635}, {classification=1, sum=0.8916593400000138}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000136,1.45559148E8,958755.0,1,157,S,271574905001,271574905001,+44.2230993,-092.2576945,G5030,Block Group 1,27,490500,2021,"{groups=[{classification=0, sum=7.170803640000868}, {classification=1, sum=9.713735459998155}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000137,2.5031617E7,3948317.0,1,157,S,271574901001,271574901001,+44.3478516,-092.0265485,G5030,Block Group 1,27,490100,2021,"{groups=[{classification=0, sum=2.6506537199996276}, {classification=1, sum=4.6226594699991965}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013b,1.81778589E8,313385.0,1,157,S,271574904001,271574904001,+44.3751047,-092.3681427,G5030,Block Group 1,27,490400,2021,"{groups=[{classification=0, sum=6.67076553000054}, {classification=1, sum=7.195127940000884}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013c,666318.0,1784628.0,1,157,S,271574903001,271574903001,+44.4520110,-092.2621748,G5030,Block Group 1,27,490300,2021,"{groups=[{classification=0, sum=0.19806930000000214}, {classification=1, sum=0.06046325999999987}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013d,1.24940857E8,9316830.0,1,157,S,271574902001,271574902001,+44.3262865,-092.1275070,G5030,Block Group 1,27,490200,2021,"{groups=[{classification=0, sum=8.651111040000174}, {classification=1, sum=16.86890204998456}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000143,8.37468891E8,1.5471831E7,1,029,S,270290003001,270290003001,+47.8904691,-095.4309022,G5030,Block Group 1,27,000300,2021,"{groups=[{classification=0, sum=209.71403738865155}, {classification=1, sum=38.11096574997065}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000171,6.55441161E8,265704.0,1,089,S,270890801001,270890801001,+48.3472217,-095.7115154,G5030,Block Group 1,27,080100,2021,"{groups=[{classification=0, sum=91.3860476101139}, {classification=1, sum=20.52032696998267}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000173,2.37135297E8,43524.0,1,089,S,270890804001,270890804001,+48.2691340,-096.6867489,G5030,Block Group 1,27,080400,2021,"{groups=[{classification=0, sum=6.861537540000665}, {classification=1, sum=2.039071320000008}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000177,9.7360726E8,3778298.0,1,089,S,270890803001,270890803001,+48.4057622,-096.9438470,G5030,Block Group 1,27,080300,2021,"{groups=[{classification=0, sum=29.270125169972992}, {classification=1, sum=4.447524509999535}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000179,2.5503454E8,3663.0,1,089,S,270890802001,270890802001,+48.3492426,-096.3578477,G5030,Block Group 1,27,080200,2021,"{groups=[{classification=0, sum=34.204830659974164}, {classification=1, sum=11.25798101999522}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017c,7.08746119E8,4.0074485E7,1,001,S,270017701001,270017701001,+46.8763449,-093.2082035,G5030,Block Group 1,27,770100,2021,"{groups=[{classification=0, sum=148.14436922927396}, {classification=1, sum=117.48289409964596}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017e,5.70498177E8,2059727.0,1,001,S,270017905011,270017905011,+46.3055325,-093.3664452,G5030,Block Group 1,27,790501,2021,"{groups=[{classification=0, sum=100.76723513995708}, {classification=1, sum=105.10425782995665}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017f,8.9032457E8,1.4871127E7,1,001,S,270017702001,270017702001,+46.9181539,-093.5478041,G5030,Block Group 1,27,770200,2021,"{groups=[{classification=0, sum=175.44075119910252}, {classification=1, sum=157.03524836932192}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000184,3.37944549E8,2.0420947E7,1,001,S,270017704001,270017704001,+46.5595007,-093.2610500,G5030,Block Group 1,27,770400,2021,"{groups=[{classification=0, sum=67.92560775020637}, {classification=1, sum=50.524351020083536}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000185,1.3312657E7,85779.0,1,001,S,270017703001,270017703001,+46.5298966,-093.6754568,G5030,Block Group 1,27,770300,2021,"{groups=[{classification=0, sum=2.7281439899995794}, {classification=1, sum=1.4177592000000225}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ca,2.8275856E7,9461352.0,1,057,S,270570704001,270570704001,+46.9616534,-094.9004696,G5030,Block Group 1,27,070400,2021,"{groups=[{classification=0, sum=3.2299195499992672}, {classification=1, sum=5.018103089999456}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001cd,1.58381818E8,4876776.0,1,057,S,270570705001,270570705001,+46.8867696,-095.1105536,G5030,Block Group 1,27,070500,2021,"{groups=[{classification=0, sum=14.246047529989543}, {classification=1, sum=20.59885970997747}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ce,4893197.0,622894.0,1,057,S,270570706001,270570706001,+46.9280270,-095.0414958,G5030,Block Group 1,27,070600,2021,"{groups=[{classification=0, sum=0.8072192700000124}, {classification=1, sum=0.7957521000000122}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e5,1.98794733E8,121380.0,1,043,S,270434605001,270434605001,+43.5972420,-093.9462565,G5030,Block Group 1,27,460500,2021,"{groups=[{classification=0, sum=4.470458849999097}, {classification=1, sum=2.140190909999945}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e8,2.6048894E8,7161799.0,1,043,S,270434602001,270434602001,+43.7872056,-094.1071420,G5030,Block Group 1,27,460200,2021,"{groups=[{classification=0, sum=7.6142008800011585}, {classification=1, sum=4.316520779998996}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e9,2.80899077E8,682196.0,1,043,S,270434603001,270434603001,+43.5795517,-094.1201862,G5030,Block Group 1,27,460300,2021,"{groups=[{classification=0, sum=6.476866110000413}, {classification=1, sum=4.171617449998901}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
