bg2020gj,bg2020ge,tr2010gj,tr2010ge,wt_pop,wt_adult,wt_hh,wt_hu,parea
G19006300702002,190630702002,G2700910790400,27091790400,9.12157e-7,9.3777e-7,0,6.375619e-6,3.643626e-6
G19014304601004,191434601004,G2701050105300,27105105300,0,0,0,0,2.2890902e-5
G27000107701001,270017701001,G2700010770100,27001770100,1,1,1,1,0.999999199966
G27000107701001,270017701001,G2701370011200,27137011200,0,0,0,0,8.00034e-7
G27000107701002,270017701002,G2700010770100,27001770100,1,1,1,1,1
G27000107701003,270017701003,G2700010770100,27001770100,1,1,1,1,1
G27000107702001,270017702001,G2700010770200,27001770200,1,1,1,1,1
G27000107702002,270017702002,G2700010770200,27001770200,1,1,1,1,0.999948234197
G27000107702002,270017702002,G2700010770100,27001770100,0,0,0,0,1.2294728e-5
G27000107702002,270017702002,G2700010770300,27001770300,0,0,0,0,3.9471075e-5
G27000107702003,270017702003,G2700010770200,27001770200,1,1,1,1,1
G27000107703001,270017703001,G2700010770300,27001770300,1,1,1,1,0.943798680639
G27000107703001,270017703001,G2700010770100,27001770100,0,0,0,0,0.056201319361
G27000107703002,270017703002,G2700010770300,27001770300,1,1,1,1,1
G27000107703003,270017703003,G2700010770300,27001770300,1,1,1,1,1
G27000107704011,270017704011,G2700010770400,27001770400,1,1,1,1,1
G27000107704021,270017704021,G2700010770400,27001770400,1,1,1,1,1
G27000107704022,270017704022,G2700010770400,27001770400,1,1,1,1,1
G27000107905011,270017905011,G2700010790501,27001790501,1,1,1,1,1
G27000107905012,270017905012,G2700010790501,27001790501,1,1,1,1,1
G27000107905031,270017905031,G2700010790502,27001790502,1,1,1,1,1
G27000107905032,270017905032,G2700010790502,27001790502,1,1,1,1,1
G27000107905033,270017905033,G2700010790502,27001790502,1,1,1,1,1
G27000107905041,270017905041,G2700010790502,27001790502,1,1,1,1,1
G27000107905042,270017905042,G2700010790502,27001790502,1,1,1,1,1
G27000300501071,270030501071,G2700030050107,27003050107,1,1,1,1,1
G27000300501072,270030501072,G2700030050107,27003050107,0.999850736962,0.999867611329,0.999887812472,0.999833799461,0.999711020558
G27000300501072,270030501072,G2700030050116,27003050116,1.49263038e-4,1.32388671e-4,1.12187528e-4,1.66200539e-4,2.88979442e-4
G27000300501081,270030501081,G2700030050108,27003050108,1,1,1,1,1
G27000300501082,270030501082,G2700030050108,27003050108,0.975743348983,0.969827586207,0.985748218527,0.977116704805,0.994169362647
G27000300501082,270030501082,G2700030050109,27003050109,0.024256651017,0.030172413793,0.014251781473,0.022883295195,0.005830637353
G27000300501083,270030501083,G2700030050108,27003050108,1,1,1,1,1
G27000300501091,270030501091,G2700030050109,27003050109,0.991961414791,0.994198694706,0.998427672956,0.998496240602,0.995465125785
G27000300501091,270030501091,G2700030050108,27003050108,0.008038585209,0.005801305294,0.001572327044,0.001503759398,0.004534874215
G27000300501092,270030501092,G2700030050109,27003050109,1,1,1,1,1
G27000300501093,270030501093,G2700030050109,27003050109,1,1,1,1,1
G27000300501094,270030501094,G2700030050109,27003050109,1,1,1,1,1
G27000300501101,270030501101,G2700030050110,27003050110,1,1,1,1,0.999763953971
G27000300501101,270030501101,G2700030050115,27003050115,0,0,0,0,2.36046029e-4
G27000300501102,270030501102,G2700030050110,27003050110,0.999976291359,0.999971106642,0.999973096438,0.99997346426,0.999813741011
G27000300501102,270030501102,G2700030050235,27003050235,2.3708641e-5,2.8893358e-5,2.6903562e-5,2.653574e-5,1.86258989e-4
G27000300501111,270030501111,G2700030050111,27003050111,1,1,1,1,1
G27000300501112,270030501112,G2700030050111,27003050111,1,1,1,1,1
G27000300501113,270030501113,G2700030050111,27003050111,1,1,1,1,1
G27000300501141,270030501141,G2700030050114,27003050114,0.98838591406,0.990490100742,0.993765317952,0.993450618668,0.974499767725
G27000300501141,270030501141,G2700030050108,27003050108,0.006112863446,0.00711755476,0.004389663598,0.004754049196,0.016554281817
G27000300501141,270030501141,G2700030050107,27003050107,0.005501222494,0.002392344498,0.00184501845,0.001795332136,0.008945950457
G27000300501142,270030501142,G2700030050114,27003050114,0.999994152618,0.999993401445,0.9999945261,0.999994727347,0.999997468005
G27000300501142,270030501142,G2700030050108,27003050108,5.847382e-6,6.598555e-6,5.4739e-6,5.272653e-6,2.531995e-6
G27000300501151,270030501151,G2700030050115,27003050115,1,1,1,1,1
G27000300501152,270030501152,G2700030050115,27003050115,1,1,1,1,1
G27000300501153,270030501153,G2700030050115,27003050115,1,1,1,1,1
G27000300501154,270030501154,G2700030050115,27003050115,1,1,1,1,0.999998320281
G27000300501154,270030501154,G2700030050110,27003050110,0,0,0,0,1.679719e-6
G27000300501161,270030501161,G2700030050116,27003050116,1,1,1,1,1
G27000300501162,270030501162,G2700030050114,27003050114,0,0,0,0,0.004741737458
G27000300501162,270030501162,G2700030050116,27003050116,1,1,1,1,0.995258262542
G27000300501163,270030501163,G2700030050116,27003050116,0.996790461929,0.997505359431,0.996424793196,0.996552272207,0.998565610148
G27000300501163,270030501163,G2700030050114,27003050114,0.003209538071,0.002494640569,0.003575206804,0.003447727793,0.001434389852
G27000300502081,270030502081,G2700030050208,27003050208,1,1,1,1,1
G27000300502082,270030502082,G2700030050208,27003050208,1,1,1,1,0.994909594435
G27000300502082,270030502082,G2700030050707,27003050707,0,0,0,0,0.005090405565
G27000300502083,270030502083,G2700030050208,27003050208,1,1,1,1,1
G27000300502084,270030502084,G2700030050208,27003050208,1,1,1,1,1
G27000300502101,270030502101,G2700030050210,27003050210,1,1,1,1,1
G27000300502102,270030502102,G2700030050210,27003050210,1,1,1,1,1
G27000300502103,270030502103,G2700030050210,27003050210,1,1,1,1,1
G27000300502104,270030502104,G2700030050210,27003050210,1,1,1,1,1
G27000300502151,270030502151,G2700030050215,27003050215,1,1,1,1,1
G27000300502152,270030502152,G2700030050215,27003050215,0.999971676063,0.999968572115,0.999964475096,0.999963617715,0.999981824226
G27000300502152,270030502152,G2700030050805,27003050805,2.8323937e-5,3.1427885e-5,3.5524904e-5,3.6382285e-5,1.8175774e-5
G27000300502153,270030502153,G2700030050216,27003050216,0.077276908924,0.087155963303,0.137254901961,0.140435835351,0.019681793698
G27000300502153,270030502153,G2700030050215,27003050215,0.922723091076,0.912844036697,0.862745098039,0.859564164649,0.980318206302
G27000300502161,270030502161,G2700030050216,27003050216,0.999720485231,0.999709562645,0.999696909751,0.999700029033,0.998487309203
G27000300502161,270030502161,G2700030050210,27003050210,2.79514769e-4,2.90437355e-4,3.03090249e-4,2.99970967e-4,0.001512690797
G27000300502162,270030502162,G2700030050216,27003050216,1,1,1,1,1
G27000300502163,270030502163,G2700030050216,27003050216,1,1,1,1,1
G27000300502164,270030502164,G2700030050216,27003050216,1,1,1,1,1
G27000300502165,270030502165,G2700030050216,27003050216,1,1,1,1,1
G27000300502171,270030502171,G2700030050217,27003050217,1,1,1,1,0.99991040657
G27000300502171,270030502171,G2700030050235,27003050235,0,0,0,0,8.959343e-5
G27000300502172,270030502172,G2700030050217,27003050217,1,1,1,1,1
G27000300502181,270030502181,G2700030050218,27003050218,1,1,1,1,1
G27000300502182,270030502182,G2700030050218,27003050218,1,1,1,1,0.999276786488
G27000300502182,270030502182,G2700030050114,27003050114,0,0,0,0,7.23213512e-4
G27000300502182,270030502182,G2700030050225,27003050225,0,0,0,0,0
G27000300502183,270030502183,G2700030050218,27003050218,1,1,1,1,1
G27000300502183,270030502183,G2700030050225,27003050225,0,0,0,0,0
G27000300502191,270030502191,G2700030050219,27003050219,1,1,1,1,0.998045899661
G27000300502191,270030502191,G2700030050225,27003050225,0,0,0,0,0
G27000300502191,270030502191,G2700030050226,27003050226,0,0,0,0,0
G27000300502191,270030502191,G2700030050505,27003050505,0,0,0,0,0.001954100339
G27000300502192,270030502192,G2700030050219,27003050219,1,1,1,1,0.95349531382
G27000300502192,270030502192,G2700030050505,27003050505,0,0,0,0,0.04650468618
G27000300502201,270030502201,G2700030050220,27003050220,1,1,1,1,1
G27000300502202,270030502202,G2700030050220,27003050220,1,1,1,1,1
G27000300502203,270030502203,G2700030050220,27003050220,1,1,1,1,1
G27000300502204,270030502204,G2700030050220,27003050220,1,1,1,1,1
G27000300502221,270030502221,G2700030050222,27003050222,1,1,1,1,1
G27000300502222,270030502222,G2700030050222,27003050222,1,1,1,1,1
G27000300502223,270030502223,G2700030050222,27003050222,1,1,1,1,1
G27000300502224,270030502224,G2700030050222,27003050222,1,1,1,1,1
G27000300502231,270030502231,G2700030050223,27003050223,1,1,1,1,1
G27000300502232,270030502232,G2700030050223,27003050223,1,1,1,1,1
G27000300502233,270030502233,G2700030050223,27003050223,1,1,1,1,1
G27000300502241,270030502241,G2700030050224,27003050224,1,1,1,1,1
G27000300502242,270030502242,G2700030050224,27003050224,1,1,1,1,1
G27000300502261,270030502261,G2700030050226,27003050226,1,1,1,1,1
G27000300502262,270030502262,G2700030050225,27003050225,0,0,0,0,0
G27000300502262,270030502262,G2700030050226,27003050226,0.995890860236,0.994987488116,0.989645312378,0.989677772214,0.990984028631
G27000300502262,270030502262,G2700030050219,27003050219,0,0,0,0,0
G27000300502262,270030502262,G2700030050505,27003050505,0,0,0,0,0
G27000300502262,270030502262,G2700030050401,27003050401,0.004109139764,0.005012511884,0.010354687622,0.010322227786,0.009015971369
G27000300502271,270030502271,G2700030050227,27003050227,0.991563330929,0.990079960543,0.990810414754,0.990939542416,0.98256244636
G27000300502271,270030502271,G2700030050402,27003050402,0.008436669071,0.009920039457,0.009189585246,0.009060457584,0.01743755364
G27000300502272,270030502272,G2700030050227,27003050227,1,1,1,1,1
G27000300502273,270030502273,G2700030050226,27003050226,0,0,0,0,0.023006747059
G27000300502273,270030502273,G2700030050227,27003050227,1,1,1,1,0.976993252941
G27000300502274,270030502274,G2700030050227,27003050227,1,1,1,1,1
G27000300502281,270030502281,G2700030050228,27003050228,1,1,1,1,1
G27000300502282,270030502282,G2700030050228,27003050228,1,1,1,1,1
G27000300502283,270030502283,G2700030050228,27003050228,1,1,1,1,1
G27000300502284,270030502284,G2700030050228,27003050228,1,1,1,1,1
G27000300502285,270030502285,G2700030050228,27003050228,1,1,1,1,1
G27000300502291,270030502291,G2700030050229,27003050229,1,1,1,1,1
G27000300502292,270030502292,G2700030050229,27003050229,1,1,1,1,1
G27000300502293,270030502293,G2700030050229,27003050229,1,1,1,1,1
G27000300502294,270030502294,G2700030050229,27003050229,1,1,1,1,0.997987246092
G27000300502294,270030502294,G2700030050902,27003050902,0,0,0,0,0.002012753908
G27000300502295,270030502295,G2700030050229,27003050229,0.999943809359,0.999950529867,0.999853704535,0.999854260792,0.99878430186
G27000300502295,270030502295,G2700030050233,27003050233,0,0,0,0,6.02794893e-4
G27000300502295,270030502295,G2700030050816,27003050816,5.6190641e-5,4.9470133e-5,1.46295465e-4,1.45739208e-4,6.12903248e-4
G27000300502301,270030502301,G2700030050230,27003050230,1,1,1,1,1
G27000300502302,270030502302,G2700030050230,27003050230,1,1,1,1,1
G27000300502321,270030502321,G2700030050232,27003050232,1,1,1,1,1
G27000300502322,270030502322,G2700030050230,27003050230,8.556263e-5,8.35208e-5,7.8405109e-5,7.7260509e-5,0.009167103472
G27000300502322,270030502322,G2700030050232,27003050232,0.99991443737,0.9999164792,0.999921594891,0.999922739491,0.990832896528
G27000300502323,270030502323,G2700030050230,27003050230,0.003683249718,0.003919960869,0.003618801084,0.003597883159,0.005713617289
G27000300502323,270030502323,G2700030050232,27003050232,0.996316750282,0.996080039131,0.996381198916,0.996402116841,0.994286382711
G27000300502331,270030502331,G2700030050233,27003050233,1,1,1,1,1
G27000300502332,270030502332,G2700030050233,27003050233,1,1,1,1,1
G27000300502333,270030502333,G2700030050233,27003050233,1,1,1,1,1
G27000300502341,270030502341,G2700030050234,27003050234,1,1,1,1,1
G27000300502342,270030502342,G2700030050210,27003050210,5.553005e-6,6.004399e-6,6.367348e-6,6.25788e-6,7.4911007e-5
G27000300502342,270030502342,G2700030050234,27003050234,0.999994446995,0.999993995601,0.999993632652,0.99999374212,0.999837038698
G27000300502342,270030502342,G2700030050216,27003050216,0,0,0,0,8.8050295e-5
G27000300502343,270030502343,G2700030050234,27003050234,1,1,1,1,1
G27000300502351,270030502351,G2700030050235,27003050235,1,1,1,1,1
G27000300502352,270030502352,G2700030050235,27003050235,0.996073198355,0.999324543224,0.9973886412,0.997479924654,0.992201869053
G27000300502352,270030502352,G2700030050110,27003050110,3.1962307e-5,3.1126879e-5,2.4036678e-5,2.3196445e-5,3.0356538e-5
G27000300502352,270030502352,G2700030050221,27003050221,0,0,0,0,9.7105928e-5
G27000300502352,270030502352,G2700030050216,27003050216,0.003894839338,6.44329897e-4,0.002587322122,0.002496878901,0.007670668481
G27000300502361,270030502361,G2700030050236,27003050236,1,1,1,1,1
G27000300502362,270030502362,G2700030050236,27003050236,1,1,1,1,1
G27000300502363,270030502363,G2700030050236,27003050236,1,1,1,1,1
