system:index,CTU_NAME,Year,sq_miles,.geo
0000000000000000006d,Vadnais Heights,2021,"{groups=[{classification=0, sum=3.153124259999315}, {classification=1, sum=3.109688009999342}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e,St. Anthony,2021,"{groups=[{classification=0, sum=1.4021221500000223}, {classification=1, sum=0.8221613400000126}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006f,Brooklyn Center,2021,"{groups=[{classification=0, sum=5.40555443999971}, {classification=1, sum=2.427912629999766}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070,Mound,2021,"{groups=[{classification=0, sum=1.386485100000022}, {classification=1, sum=0.5737059900000084}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071,Hanover,2021,"{groups=[{classification=0, sum=0.429845130000006}, {classification=1, sum=0.7582231800000115}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000072,Camden Twp.,2021,"{groups=[{classification=0, sum=4.512157649999124}, {classification=1, sum=3.062776859999371}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073,Randolph Twp.,2021,"{groups=[{classification=0, sum=1.0966784400000171}, {classification=1, sum=0.9225859500000143}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000074,Forest Lake,2021,"{groups=[{classification=0, sum=9.387094859998776}, {classification=1, sum=10.114391429997394}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075,Inver Grove Heights,2021,"{groups=[{classification=0, sum=9.14836922999923}, {classification=1, sum=13.566009599990835}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000076,Nowthen,2021,"{groups=[{classification=0, sum=6.464356470000404}, {classification=1, sum=8.743543379999998}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000077,Arden Hills,2021,"{groups=[{classification=0, sum=4.300188749998985}, {classification=1, sum=3.5141663699990904}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000078,Savage,2021,"{groups=[{classification=0, sum=7.471035000001065}, {classification=1, sum=6.642271350000521}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000079,Hampton Twp.,2021,"{groups=[{classification=0, sum=1.9938976200000322}, {classification=1, sum=2.2510402199998762}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007a,Watertown,2021,"{groups=[{classification=0, sum=1.3944773700000221}, {classification=1, sum=0.5768334000000085}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007b,Linwood Twp.,2021,"{groups=[{classification=0, sum=13.313384369991315}, {classification=1, sum=13.241106449991452}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007c,New Hope,2021,"{groups=[{classification=0, sum=3.0784139099993615}, {classification=1, sum=1.86080895000003}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007d,Randolph,2021,"{groups=[{classification=0, sum=0.28216188000000353}, {classification=1, sum=0.2022391800000022}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e,Orono,2021,"{groups=[{classification=0, sum=4.229648279998939}, {classification=1, sum=6.855282720000661}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007f,Hopkins,2021,"{groups=[{classification=0, sum=2.6489162699996287}, {classification=1, sum=1.3677206400000217}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000080,Sand Creek Twp.,2021,"{groups=[{classification=0, sum=4.322775599999}, {classification=1, sum=6.621074460000507}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081,Columbus,2021,"{groups=[{classification=0, sum=14.981683859988145}, {classification=1, sum=13.886047889990227}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000082,Woodbury,2021,"{groups=[{classification=0, sum=13.449947939991056}, {classification=1, sum=11.481417089994796}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000083,White Bear Twp.,2021,"{groups=[{classification=0, sum=3.2121975599992783}, {classification=1, sum=3.25771874999925}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000084,Hastings,2021,"{groups=[{classification=0, sum=5.14632689999954}, {classification=1, sum=3.8550540599988783}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000085,Benton Twp.,2021,"{groups=[{classification=0, sum=3.444320879999134}, {classification=1, sum=2.285441729999855}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000086,Oak Grove,2021,"{groups=[{classification=0, sum=8.680300200000119}, {classification=1, sum=14.13207080998976}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000087,Falcon Heights,2021,"{groups=[{classification=0, sum=1.2374118900000195}, {classification=1, sum=0.6817753800000103}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000088,Louisville Twp.,2021,"{groups=[{classification=0, sum=3.4846297199991088}, {classification=1, sum=3.9589535699988136}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000089,Cedar Lake Twp.,2021,"{groups=[{classification=0, sum=4.550729039999149}, {classification=1, sum=5.552542709999806}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008a,Cottage Grove,2021,"{groups=[{classification=0, sum=9.795395609998}, {classification=1, sum=9.197017829999137}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008b,Lakeville,2021,"{groups=[{classification=0, sum=14.743653209988597}, {classification=1, sum=12.669485399992539}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008c,Norwood Young America,2021,"{groups=[{classification=0, sum=1.3454812800000213}, {classification=1, sum=0.33081048000000435}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008d,Waconia Twp.,2021,"{groups=[{classification=0, sum=4.09447466999885}, {classification=1, sum=2.283356789999856}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008e,Grey Cloud Island Twp.,2021,"{groups=[{classification=0, sum=0.5174126100000075}, {classification=1, sum=1.1223927000000176}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008f,St. Louis Park,2021,"{groups=[{classification=0, sum=6.3243180000003125}, {classification=1, sum=3.866521229998871}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000090,Hugo,2021,"{groups=[{classification=0, sum=7.166286270000865}, {classification=1, sum=8.992346219999526}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000091,Roseville,2021,"{groups=[{classification=0, sum=7.640262630001176}, {classification=1, sum=5.186288249999566}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000092,Apple Valley,2021,"{groups=[{classification=0, sum=8.77412249999994}, {classification=1, sum=7.535668140001107}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000093,Minneapolis,2021,"{groups=[{classification=0, sum=37.19810951999908}, {classification=1, sum=16.065157679986086}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
