system:index,CTU_NAME,Year,sq_miles,.geo
00000000000000000023,Medina,2021,"{groups=[{classification=0, sum=6.556788810000465}, {classification=1, sum=8.03257884000135}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024,Lake Elmo,2021,"{groups=[{classification=0, sum=4.882234499999367}, {classification=1, sum=6.905668770000694}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025,Lake St. Croix Beach,2021,"{groups=[{classification=0, sum=0.21752874000000247}, {classification=1, sum=0.30683367000000394}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026,May Twp.,2021,"{groups=[{classification=0, sum=3.7021584599989734}, {classification=1, sum=13.143809249991637}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027,Greenvale Twp.,2021,"{groups=[{classification=0, sum=2.5092252899997156}, {classification=1, sum=1.8729711000000302}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028,Carver,2021,"{groups=[{classification=0, sum=1.6742068200000269}, {classification=1, sum=1.86636879000003}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029,Scandia,2021,"{groups=[{classification=0, sum=4.960767239999418}, {classification=1, sum=13.204619999991522}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a,Dahlgren Twp.,2021,"{groups=[{classification=0, sum=4.466636459999094}, {classification=1, sum=4.751578259999281}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b,Hampton,2021,"{groups=[{classification=0, sum=0.22725846000000263}, {classification=1, sum=0.14629329000000127}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c,Cologne,2021,"{groups=[{classification=0, sum=0.7439760900000113}, {classification=1, sum=0.15880293000000148}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d,New Brighton,2021,"{groups=[{classification=0, sum=3.86860616999887}, {classification=1, sum=2.5912329299996646}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e,Woodland,2021,"{groups=[{classification=0, sum=0.16436277000000157}, {classification=1, sum=0.37146681000000503}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f,Birchwood Village,2021,"{groups=[{classification=0, sum=0.06637058999999994}, {classification=1, sum=0.25401519000000305}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030,Afton,2021,"{groups=[{classification=0, sum=2.4789936599997344}, {classification=1, sum=10.321842959997}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031,West Lakeland Twp.,2021,"{groups=[{classification=0, sum=2.0977971299999716}, {classification=1, sum=4.348837349999017}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032,Laketown Twp.,2021,"{groups=[{classification=0, sum=5.063624279999486}, {classification=1, sum=4.420420289999064}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033,Lauderdale,2021,"{groups=[{classification=0, sum=0.2672198100000033}, {classification=1, sum=0.1535905800000014}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034,Helena Twp.,2021,"{groups=[{classification=0, sum=2.7493408799995662}, {classification=1, sum=4.518412469999128}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035,Ramsey,2021,"{groups=[{classification=0, sum=10.304815949997032}, {classification=1, sum=11.204120069995323}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036,Chanhassen,2021,"{groups=[{classification=0, sum=7.861961250001321}, {classification=1, sum=8.972191799999564}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037,St. Paul Park,2021,"{groups=[{classification=0, sum=1.5769096200000252}, {classification=1, sum=0.9774893700000152}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038,New Prague,2021,"{groups=[{classification=0, sum=1.1727787500000184}, {classification=1, sum=0.5608488600000082}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039,Maplewood,2021,"{groups=[{classification=0, sum=8.109374130001203}, {classification=1, sum=8.017289280001378}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003a,Marshan Twp.,2021,"{groups=[{classification=0, sum=1.979650530000032}, {classification=1, sum=3.030807779999391}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b,Grant,2021,"{groups=[{classification=0, sum=3.6670619699989953}, {classification=1, sum=9.386747369998776}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c,Bloomington,2021,"{groups=[{classification=0, sum=18.497240189981465}, {classification=1, sum=15.306239519987528}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003d,Richfield,2021,"{groups=[{classification=0, sum=4.347099899999016}, {classification=1, sum=2.2875266699998535}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003e,Belle Plaine,2021,"{groups=[{classification=0, sum=3.020035589999398}, {classification=1, sum=1.2367169100000195}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f,Greenfield,2021,"{groups=[{classification=0, sum=3.728567699998957}, {classification=1, sum=4.436057339999074}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040,Dayton,2021,"{groups=[{classification=0, sum=5.401037069999707}, {classification=1, sum=6.306943500000301}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000041,Castle Rock Twp.,2021,"{groups=[{classification=0, sum=2.7420435899995708}, {classification=1, sum=2.511657719999714}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000042,Minnetonka Beach,2021,{groups=[]},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000043,Waterford Twp.,2021,"{groups=[{classification=0, sum=1.1338598700000178}, {classification=1, sum=1.3173345900000208}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044,San Francisco Twp.,2021,"{groups=[{classification=0, sum=3.5701122599990556}, {classification=1, sum=6.158565270000204}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045,Coates,2021,"{groups=[{classification=0, sum=0.30057885000000384}, {classification=1, sum=0.050386049999999905}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046,Deephaven,2021,"{groups=[{classification=0, sum=0.6282619200000094}, {classification=1, sum=1.6384153500000262}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047,Hilltop,2021,"{groups=[{classification=0, sum=0.0997296300000005}, {classification=1, sum=0.023281829999999986}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000048,Rosemount,2021,"{groups=[{classification=0, sum=8.557288740000352}, {classification=1, sum=8.20597635000102}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000049,Watertown Twp.,2021,"{groups=[{classification=0, sum=5.722812809999918}, {classification=1, sum=4.371771689999032}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000094,Hamburg,2021,"{groups=[{classification=0, sum=0.12057903000000085}, {classification=1, sum=0.03509648999999995}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000095,South St. Paul,2021,"{groups=[{classification=0, sum=3.652814879999004}, {classification=1, sum=1.9605385800000317}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000096,Mayer,2021,"{groups=[{classification=0, sum=0.7377212700000112}, {classification=1, sum=0.19181448000000204}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000097,Champlin,2021,"{groups=[{classification=0, sum=3.9638184299988106}, {classification=1, sum=3.6760967099989896}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000098,Shakopee,2021,"{groups=[{classification=0, sum=13.545507689990874}, {classification=1, sum=7.931111760001366}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
