GEO_NAME,1
St Anthony Park,342.0
West Side Community Organization,675.0
CapitolRiver Council,49.0
Como,649.0
Hamline-Midway,319.0
North End,616.0
West 7th Federation/Fort Road,355.0
The Greater East Side,876.0
Thomas-Dale/Frogtown,251.0
Eastview-Conway-Battle Creek-Highwood Hills,1671.0
Union Park,588.0
Dayton's Bluff,585.0
Highland,1162.0
Macalester-Groveland,617.0
Summit Hill Association,245.0
Summit-University,325.0
Payne-Phalen,819.0
Phillips,201.0
Camden,802.0
University,638.0
Central,155.0
Calhoun Isle,1039.0
Longfellow,972.0
Nokomis,1367.0
Northeast,1213.0
Southwest,1703.0
Near North,673.0
Powderhorn,781.0
